34234,Jesse,Fentress,jxf5627@psu.edu,Computer Science
23418,Dan,Arbor,jxf5627@psu.edu,Computer Science
34233,Sara,Fennel,jxf5627@psu.edu,Computer Science
12353,Smitt,Crab,jxf5627@psu.edu,Computer Science
89344,Mike,Smith,jxf5627@psu.edu,Computer Science
74243,Quinn,Williams,jxf5627@psu.edu,Computer Science
61239,Terrance,McDonall,jxf5627@psu.edu,Computer Science
89623,Shelle,Sauder,jxf5627@psu.edu,Computer Science
98742,Laura,Lowery,jxf5627@psu.edu,Computer Science
24286,Greg,Vander,jxf5627@psu.edu,
14795,Kiki,Stevenson,jxf5627@psu.edu,Computer Science
89271,Uhler,Jameson,jxf5627@psu.edu,Computer Science
35743,Parker,Minsu,jxf5627@psu.edu,Computer Science
70239,Andrew,Decker,jxf5627@psu.edu,Computer Science
34503,Fez,Reid,jxf5627@psu.edu,Computer Science
45391,Megan,Hirsh,jxf5627@psu.edu,Computer Science
73482,James,Sheroki,jxf5627@psu.edu,Computer Science
87461,Tyler,Bihn,jxf5627@psu.edu,Computer Science
56387,Riley,Matthews,jxf5627@psu.edu,
22369,Sam,Connell,jxf5627@psu.edu,Computer Science
29999,sf,sf,sd,sf
34234,Jesse,Fentress,jxf5627@psu.edu,Computer Science
23418,Dan,Arbor,jxf5627@psu.edu,Computer Science
34233,Sara,Fennel,jxf5627@psu.edu,Computer Science
12353,Smitt,Crab,jxf5627@psu.edu,Computer Science
89344,Mike,Smith,jxf5627@psu.edu,Computer Science
74243,Quinn,Williams,jxf5627@psu.edu,Computer Science
61239,Terrance,McDonall,jxf5627@psu.edu,Computer Science
89623,Shelle,Sauder,jxf5627@psu.edu,Computer Science
98742,Laura,Lowery,jxf5627@psu.edu,Computer Science
24286,Greg,Vander,jxf5627@psu.edu,
14795,Kiki,Stevenson,jxf5627@psu.edu,Computer Science
89271,Uhler,Jameson,jxf5627@psu.edu,Computer Science
35743,Parker,Minsu,jxf5627@psu.edu,Computer Science
70239,Andrew,Decker,jxf5627@psu.edu,Computer Science
34503,Fez,Reid,jxf5627@psu.edu,Computer Science
45391,Megan,Hirsh,jxf5627@psu.edu,Computer Science
73482,James,Sheroki,jxf5627@psu.edu,Computer Science
87461,Tyler,Bihn,jxf5627@psu.edu,Computer Science
56387,Riley,Matthews,jxf5627@psu.edu,
22369,Sam,Connell,jxf5627@psu.edu,Computer Science
